,provinsi,daerah,jenis,tahun,pengeluaran,kategori_pengeluaran,Cluster,cluster_opt,daerah_asli,jenis_asli,pengeluaran_asli
228,SUMATERA UTARA,1,0,2011,0.10426331772318664,rendah,1,0,PERDESAANPERKOTAAN,MAKANAN,316343.0
229,SUMATERA UTARA,1,0,2012,0.11566741588342225,rendah,1,0,PERDESAANPERKOTAAN,MAKANAN,344467.0
230,SUMATERA UTARA,1,0,2013,0.1233296203648549,rendah,1,0,PERDESAANPERKOTAAN,MAKANAN,363362.99999999994
231,SUMATERA UTARA,1,0,2014,0.13775261735893188,rendah,2,0,PERDESAANPERKOTAAN,MAKANAN,398932.0
232,SUMATERA UTARA,1,0,2015,0.14409210216326707,sedang,2,0,PERDESAANPERKOTAAN,MAKANAN,414565.99999999994
233,SUMATERA UTARA,1,0,2016,0.16747042229305742,sedang,2,0,PERDESAANPERKOTAAN,MAKANAN,472220.0
234,SUMATERA UTARA,1,0,2017,0.1879664948861192,sedang,2,0,PERDESAANPERKOTAAN,MAKANAN,522766.0
235,SUMATERA UTARA,1,0,2018,0.2009374197883243,sedang,2,0,PERDESAANPERKOTAAN,MAKANAN,554754.0
236,SUMATERA UTARA,1,0,2019,0.20968310280354124,sedang,0,0,PERDESAANPERKOTAAN,MAKANAN,576322.0
237,SUMATERA UTARA,1,0,2020,0.2185723305047461,sedang,0,0,PERDESAANPERKOTAAN,MAKANAN,598244.0
238,SUMATERA UTARA,1,0,2021,0.2224516864675883,sedang,0,0,PERDESAANPERKOTAAN,MAKANAN,607811.0
239,SUMATERA UTARA,1,0,2022,0.24520595215744823,tinggi,0,0,PERDESAANPERKOTAAN,MAKANAN,663926.0
240,SUMATERA UTARA,1,1,2011,0.07664069751363572,rendah,1,2,PERDESAANPERKOTAAN,NONMAKANAN,248221.99999999997
